Date,Time,Open,High,Low,Close
2021/12/1,08:45:00,17350,17384,17342,17356
2021/12/1,09:00:00,17357,17419,17333,17419
2021/12/1,09:15:00,17419,17425,17365,17375
2021/12/1,09:30:00,17375,17441,17367,17441
2021/12/1,09:45:00,17441,17457,17431,17435
2021/12/1,10:00:00,17437,17464,17435,17444
2021/12/1,10:15:00,17444,17487,17443,17482
2021/12/1,10:30:00,17482,17494,17472,17484
2021/12/1,10:45:00,17484,17518,17475,17508
2021/12/1,11:00:00,17508,17515,17497,17497
2021/12/1,11:15:00,17497,17504,17480,17495
2021/12/1,11:30:00,17494,17507,17476,17476
2021/12/1,11:45:00,17476,17509,17476,17508
2021/12/1,12:00:00,17509,17530,17507,17528
2021/12/1,12:15:00,17528,17550,17521,17548
2021/12/1,12:30:00,17548,17585,17546,17576
2021/12/1,12:45:00,17577,17605,17575,17604
2021/12/1,13:00:00,17603,17617,17588,17592
2021/12/1,13:15:00,17592,17601,17573,17582
2021/12/1,13:30:00,17581,17589,17566,17586
2021/12/2,08:45:00,17570,17576,17516,17524
2021/12/2,09:00:00,17525,17581,17509,17545
2021/12/2,09:15:00,17546,17636,17545,17627
2021/12/2,09:30:00,17628,17696,17625,17683
2021/12/2,09:45:00,17683,17706,17665,17702
2021/12/2,10:00:00,17702,17709,17651,17655
2021/12/2,10:15:00,17653,17654,17612,17631
2021/12/2,10:30:00,17631,17681,17630,17657
2021/12/2,10:45:00,17657,17659,17611,17648
2021/12/2,11:00:00,17648,17655,17627,17649
2021/12/2,11:15:00,17648,17655,17621,17645
2021/12/2,11:30:00,17645,17674,17630,17654
2021/12/2,11:45:00,17654,17677,17649,17662
2021/12/2,12:00:00,17664,17696,17664,17684
2021/12/2,12:15:00,17684,17695,17671,17692
2021/12/2,12:30:00,17693,17698,17677,17692
2021/12/2,12:45:00,17691,17694,17662,17668
2021/12/2,13:00:00,17668,17676,17650,17667
2021/12/2,13:15:00,17666,17686,17657,17685
2021/12/2,13:30:00,17685,17707,17681,17705
2021/12/3,08:45:00,17696,17722,17670,17717
2021/12/3,09:00:00,17717,17725,17673,17683
2021/12/3,09:15:00,17685,17695,17663,17663
2021/12/3,09:30:00,17663,17666,17631,17642
2021/12/3,09:45:00,17642,17670,17621,17665
2021/12/3,10:00:00,17666,17704,17661,17704
2021/12/3,10:15:00,17703,17710,17684,17698
2021/12/3,10:30:00,17698,17706,17685,17685
2021/12/3,10:45:00,17685,17718,17678,17690
2021/12/3,11:00:00,17691,17714,17686,17714
2021/12/3,11:15:00,17713,17728,17702,17718
